ALUTs,Registers,Logic Utilization,DSP Blocks,Memory Bits,RAM Blocks,Actual Clock Freq,Kernel fmax,1x clock fmax,ALMs needed [=A-B+C],ALMs used in final placement [=a+b+c+d],ALMs used for LUT logic & registers,ALMs used for LUT logic,ALMs used for registers,ALMs used for memory (up to half of total ALMs),Estimate of ALMs recoverable by dense packing,Due to LAB-wide signal conflicts,Due to LAB input limits,Total LABs: partially or completely used,Logic LABs,Memory LABs (up to half of total LABs),Combinational ALUT usage for logic,7 input functions,6 input functions,5 input functions,4 input functions,<=3 input functions,Memory ALUT usage,32-address deep,Dedicated logic registers,Primary logic registers,Design Implementation registers,M20K blocks,Total MLAB memory bits,Total block memory bits,Total block memory implementation bits,Total DSP Blocks,Total Fixed Point DSP Blocks,Total Floating Point DSP Blocks,Maximum fan-out,Total Fan-out,Average fan-out,Two Independent 18x18,Sum of two 18x18,Independent 27x27,Floating Point Multiplier,Floating Point Adder,Floating Point Addition of Products,Floating Point Vector Mode 1,Floating Point Vector Mode 2,Floating Point Accumulation of Products,Total Number of DSP Blocks,Fixed Point Signed Multiplier,Fixed Point Unsigned Multiplier,Fixed Point Mixed Sign Multiplier,Fixed Point Dedicated Output Adder Chain,Block Interconnects,C27 Interconnects,C4 interconnects,Direct Links,R3 Interconnects,R32 Interconnects,R32/C27 Interconnect drivers,R6 Interconnects
160519,244862,0.32,0.11,0.07,0.15,228.0193231,228.05,228.05,138818,0.4,40793,45937,77703,8030,0.09,113,69,0.74,30610,803,147768,190,39121,18956,25507,63994,12751,12751,244862,0.28,243133,0.15,90306,0.07,0.15,0.11,166,0,214849,1737832,4.14,1,1,164,0,0,0,0,0,0,166,0,167,0,41,0.16,0.36,0.17,0.03,0.15,0.35,0.08,0.16
169292,256517,0.34,0.12,0.07,0.15,232.4786319,232.61,232.61,145183,0.42,43374,47527,80630,8550,0.09,140,73,0.74,30787,855,155723,195,41588,20059,27132,66749,13569,13569,256517,0.29,254788,0.15,94645,0.07,0.15,0.12,178,0,228238,1813515,4.12,1,1,176,0,0,0,0,0,0,178,0,179,0,44,0.17,0.39,0.17,0.03,0.16,0.29,0.08,0.16
178215,268473,0.35,0.13,0.07,0.15,228.1481476,228.15,228.15,151612,0.44,45557,49925,84293,9130,0.1,134,63,0.75,31054,913,163724,204,44087,21255,28356,69822,14491,14491,268473,0.3,266744,0.15,99560,0.07,0.15,0.13,190,0,242140,1890374,4.1,1,1,188,0,0,0,0,0,0,190,0,191,0,47,0.18,0.35,0.18,0.03,0.16,0.32,0.08,0.17
186395,279612,0.37,0.13,0.07,0.15,227.1604933,227.22,227.22,157542,0.46,47793,52032,87555,9650,0.1,125,55,0.78,32437,965,171086,216,46488,22420,29276,72686,15309,15309,279612,0.32,277883,0.15,103898,0.07,0.15,0.13,202,0,254951,1961512,4.08,1,1,200,0,0,0,0,0,0,202,0,203,0,50,0.19,0.35,0.18,0.03,0.17,0.31,0.08,0.17
204661,303860,0.4,0.15,0.07,0.16,230.3030297,230.41,230.41,170838,0.5,53094,55836,93905,10750,0.11,141,61,0.79,32653,1075,187612,229,51867,24482,31750,79284,17049,17049,303860,0.34,302131,0.16,113152,0.07,0.16,0.15,226,0,282941,2116826,4.04,1,1,224,0,0,0,0,0,0,226,0,227,0,56,0.2,0.42,0.21,0.04,0.19,0.35,0.09,0.2
213547,315643,0.42,0.16,0.07,0.16,228.2828277,228.41,228.41,177323,0.52,55209,59004,97640,11330,0.12,171,64,0.83,34531,1133,195576,259,54271,25564,33303,82179,17971,17971,315643,0.36,313914,0.16,118067,0.07,0.16,0.16,238,0,296670,2193285,4.03,1,1,236,0,0,0,0,0,0,238,0,239,0,59,0.21,0.39,0.21,0.04,0.19,0.32,0.08,0.2
231266,339338,0.45,0.17,0.07,0.16,231.3725484,231.48,231.48,190200,0.56,59490,63796,104941,12430,0.13,152,77,0.87,36135,1243,211555,272,59306,28058,35246,88673,19711,19711,339338,0.38,337609,0.16,127321,0.07,0.16,0.17,262,0,324045,2346902,4,1,1,260,0,0,0,0,0,0,262,0,263,0,65,0.23,0.4,0.23,0.04,0.2,0.35,0.09,0.21
249106,363038,0.48,0.19,0.08,0.17,228.1481476,228.15,228.15,203188,0.61,63896,69461,112181,13530,0.14,231,105,0.91,37342,1353,227655,251,64381,30213,38152,94658,21451,21451,363038,0.41,361309,0.17,136575,0.08,0.17,0.19,286,0,351425,2500224,3.98,1,1,284,0,0,0,0,0,0,286,0,287,0,71,0.25,0.4,0.25,0.04,0.22,0.34,0.09,0.23
257404,374539,0.49,0.2,0.08,0.17,229.3333328,229.46,229.46,209278,0.62,66586,70267,114791,14050,0.14,194,104,0.9,37039,1405,235135,285,66942,31252,39242,97414,22269,22269,374539,0.42,372810,0.17,140914,0.08,0.17,0.2,298,0,364638,2573335,3.97,1,1,296,0,0,0,0,0,0,298,0,299,0,74,0.26,0.38,0.25,0.04,0.23,0.34,0.08,0.24
266800,386668,0.51,0.2,0.08,0.17,232.4786319,232.5,232.5,216078,0.64,69272,72189,118028,14630,0.15,198,133,0.92,37966,1463,243609,260,69483,32530,40482,100854,23191,23191,386668,0.44,384939,0.17,145829,0.08,0.17,0.2,310,0,378735,2652384,3.96,1,1,308,0,0,0,0,0,0,310,0,311,0,77,0.28,0.37,0.24,0.05,0.23,0.35,0.09,0.24
275568,399941,0.52,0.21,0.1,0.19,228.1481476,228.15,228.15,222628,0.66,71527,74149,122163,15130,0.15,150,117,0.92,37894,1515,251559,398,72030,33521,41637,103973,24009,24009,399941,0.45,398212,0.19,150168,0.1,0.19,0.21,322,0,393742,2736214,3.96,1,1,320,0,0,0,0,0,0,322,0,323,0,80,0.27,0.41,0.26,0.05,0.24,0.29,0.09,0.24
